dish_name,dish_description,dish_type,allergens,Category,Price
Pasta and Beans -40,"Three eggs with cilantro, tomatoes, onions, avocados and melted Emmental cheese. With a side of roasted potatoes, and your choice of toast or croissant.",Non-Veg,Soy,Keralite,137.86
Cheeseburger -41,"Thick slices of French toast bread, brown sugar, half-and-half and vanilla, topped with powdered sugar. With two eggs served any style, and your choice of smoked bacon or smoked ham.",Veg,Peanuts,Parsi,81.77
Vegetable Soup -42,"Granny Smith apples mixed with brown sugar and butter filling, in a flaky all-butter crust, with ice cream.",Non-Veg,Sulphites,Tamil,120.76
Sushi -43,"Three eggs with cilantro, tomatoes, onions, avocados and melted Emmental cheese. With a side of roasted potatoes, and your choice of toast or croissant.",Veg,Sulphites,Filipino,59.51
Chicken Wings -44,"Three eggs with cilantro, tomatoes, onions, avocados and melted Emmental cheese. With a side of roasted potatoes, and your choice of toast or croissant.",Non-Veg,Soy,Ethiopian,96.37
Meatballs with Sauce -45,"Thick slices of French toast bread, brown sugar, half-and-half and vanilla, topped with powdered sugar. With two eggs served any style, and your choice of smoked bacon or smoked ham.",Non-Veg,Tree Nuts,Odia,98.6
Teriyaki Chicken Donburi -46,"Three egg omelet with Roquefort cheese, chives, and ham. With a side of roasted potatoes, and your choice of toast or croissant.",Non-Veg,Mustard,Cypriot,108.31
Pho -47,"Breaded fried chicken with waffles, and a side of maple syrup.",Veg,Wheat and triticale,Indonesian,136.96
Seafood Paella -48,"Two buttermilk waffles, topped with whipped cream and maple syrup, a side of two eggs served any style, and your choice of smoked bacon or smoked ham.",Non-Veg,Tree Nuts,Romanian,139.37
Bruschette with Tomato -49,"Smoked salmon, poached eggs, diced red onions and Hollandaise sauce on an English muffin. With a side of roasted potatoes.",Non-Veg,Wheat and triticale,Berber,98.1
Pork Belly Buns -50,Breaded fried chicken with waffles. Served with maple syrup.,Non-Veg,Mustard,Brazilian,154.23
Caesar Salad -51,"Creamy mascarpone cheese and custard layered between espresso and rum soaked house-made ladyfingers, topped with Valrhona cocoa powder.",Veg,Sesame seeds,Italian cuisine,143.87
Fish and Chips -52,"Breaded fried chicken with waffles, and a side of maple syrup.",Veg,Peanuts,Malaysian Chinese cuisine,127.1
Pasta with Tomato and Basil -53,"Creamy mascarpone cheese and custard layered between espresso and rum soaked house-made ladyfingers, topped with Valrhona cocoa powder.",Veg,Crustaceans and molluscs,Romani,50.86
Lasagne -54,"Three eggs with cilantro, tomatoes, onions, avocados and melted Emmental cheese. With a side of roasted potatoes, and your choice of toast or croissant.",Veg,Milk,Mughal,178.39
Fettuccine Alfredo -55,"Two buttermilk waffles, topped with whipped cream and maple syrup, a side of two eggs served any style, and your choice of smoked bacon or smoked ham.",Non-Veg,Tree Nuts,Bangladeshi,60.07
Vegetable Soup -56,"Three eggs with cilantro, tomatoes, onions, avocados and melted Emmental cheese. With a side of roasted potatoes, and your choice of toast or croissant.",Non-Veg,Eggs,Mennonite,106.39
Bunny Chow -57,"Two buttermilk waffles, topped with whipped cream and maple syrup, a side of two eggs served any style, and your choice of smoked bacon or smoked ham.",Veg,Eggs,Karnataka,121.91
Scotch Eggs -58,"Three eggs with cilantro, tomatoes, onions, avocados and melted Emmental cheese. With a side of roasted potatoes, and your choice of toast or croissant.",Veg,Eggs,Tatar,75.61
Caprese Salad -59,"Fresh Norwegian salmon, lightly brushed with our herbed Dijon mustard sauce, with choice of two sides.",Veg,Sesame seeds,Greek,181.81
Caprese Salad -60,"Two butter croissants of your choice (plain, almond or cheese). With a side of herb butter or house-made hazelnut spread.",Veg,Tree Nuts,Armenian,72.25
Poke -61,"Two butter croissants of your choice (plain, almond or cheese). With a side of herb butter or house-made hazelnut spread.",Non-Veg,Wheat and triticale,Somali,108.8
Ricotta Stuffed Ravioli -62,"Two butter croissants of your choice (plain, almond or cheese). With a side of herb butter or house-made hazelnut spread.",Veg,Mustard,Pennsylvania Dutch,168.08
Caesar Salad -63,"28-day aged 300g USDA Certified Prime Ribeye, rosemary-thyme garlic butter, with choice of two sides.",Non-Veg,Wheat and triticale,Lebanese,55.77
Lasagne -64,"Three egg whites with spinach, mushrooms, caramelized onions, tomatoes and low-fat feta cheese. With herbed quinoa, and your choice of rye or whole-grain toast.",Non-Veg,Eggs,Sindhi,171.14
Cauliflower Penne -65,"28-day aged 300g USDA Certified Prime Ribeye, rosemary-thyme garlic butter, with choice of two sides.",Non-Veg,Peanuts,South Indian,62.61
Seafood Paella -66,"Three eggs with cilantro, tomatoes, onions, avocados and melted Emmental cheese. With a side of roasted potatoes, and your choice of toast or croissant.",Non-Veg,Sesame seeds,Indian Singaporean cuisine,90.88
Scotch Eggs -67,Breaded fried chicken with waffles. Served with maple syrup.,Veg,Fish,Latvian,168.93
Ricotta Stuffed Ravioli -68,"Fresh parsley, Italian sausage, shallots, garlic, sun-dried tomatoes and mozzarella cheese in an all-butter crust. With a side of mixed fruits.",Non-Veg,Tree Nuts,Filipino,161.98
Ebiten maki -69,"Two buttermilk waffles, topped with whipped cream and maple syrup, a side of two eggs served any style, and your choice of smoked bacon or smoked ham.",Veg,Eggs,Ainu,126.15
Ebiten maki -70,"Two butter croissants of your choice (plain, almond or cheese). With a side of herb butter or house-made hazelnut spread.",Non-Veg,Milk,Pashtun,162.92
Philadelphia Maki -71,"Two buttermilk waffles, topped with whipped cream and maple syrup, a side of two eggs served any style, and your choice of smoked bacon or smoked ham.",Veg,Peanuts,Chechen,198.43
Cauliflower Penne -72,"Thick slices of French toast bread, brown sugar, half-and-half and vanilla, topped with powdered sugar. With two eggs served any style, and your choice of smoked bacon or smoked ham.",Veg,Mustard,Bashkir,103.77
Seafood Paella -73,"Breaded fried chicken with waffles, and a side of maple syrup.",Veg,Tree Nuts,Mediterranean cuisine,186.7
French Toast -74,"Breaded fried chicken with waffles, and a side of maple syrup.",Veg,Sulphites,Romani,189.47
Tiramisù -75,"Three egg omelet with Roquefort cheese, chives, and ham. With a side of roasted potatoes, and your choice of toast or croissant.",Veg,Eggs,Bashkir,192.89
Souvlaki -76,"Three egg omelet with Roquefort cheese, chives, and ham. With a side of roasted potatoes, and your choice of toast or croissant.",Veg,Soy,Pakistani,62.91
Mushroom Risotto -77,"Breaded fried chicken with waffles, and a side of maple syrup.",Non-Veg,Milk,Yamal,91.7
Sushi -78,"Fresh Norwegian salmon, lightly brushed with our herbed Dijon mustard sauce, with choice of two sides.",Veg,Soy,Goan,146.56
Arepas -79,"Three eggs with cilantro, tomatoes, onions, avocados and melted Emmental cheese. With a side of roasted potatoes, and your choice of toast or croissant.",Non-Veg,Wheat and triticale,Estonian,91.96
Caesar Salad -80,Breaded fried chicken with waffles. Served with maple syrup.,Veg,Eggs,Argentine,194.24
Poke -81,"Thick slices of French toast bread, brown sugar, half-and-half and vanilla, topped with powdered sugar. With two eggs served any style, and your choice of smoked bacon or smoked ham.",Non-Veg,Mustard,Serbian,140.51
French Fries with Sausages -82,Breaded fried chicken with waffles. Served with maple syrup.,Veg,Peanuts,Armenian,101.79
Salmon Nigiri -83,Breaded fried chicken with waffles. Served with maple syrup.,Veg,Sulphites,Brazilian,107.96
Som Tam -84,"Granny Smith apples mixed with brown sugar and butter filling, in a flaky all-butter crust, with ice cream.",Veg,Sulphites,Berber,154.16
Kebab -85,"Two buttermilk waffles, topped with whipped cream and maple syrup, a side of two eggs served any style, and your choice of smoked bacon or smoked ham.",Non-Veg,Tree Nuts,Rajasthani,165.95
Cheeseburger -86,"Three eggs with cilantro, tomatoes, onions, avocados and melted Emmental cheese. With a side of roasted potatoes, and your choice of toast or croissant.",Veg,Wheat and triticale,Egyptian,178.32
Caprese Salad -87,Breaded fried chicken with waffles. Served with maple syrup.,Veg,Eggs,Pashtun,93.89
Sushi -88,"Breaded fried chicken with waffles, and a side of maple syrup.",Non-Veg,Crustaceans and molluscs,Polish,62.18
Peking Duck -89,"Three egg omelet with Roquefort cheese, chives, and ham. With a side of roasted potatoes, and your choice of toast or croissant.",Veg,Tree Nuts,Vietnamese,58.67
Massaman Curry -90,"Breaded fried chicken with waffles, and a side of maple syrup.",Non-Veg,Eggs,Slovak,54.35
Tiramisù -91,"Fresh Norwegian salmon, lightly brushed with our herbed Dijon mustard sauce, with choice of two sides.",Non-Veg,Fish,Mennonite,182.43
Sushi -92,"Creamy mascarpone cheese and custard layered between espresso and rum soaked house-made ladyfingers, topped with Valrhona cocoa powder.",Veg,Soy,Chinese cuisine,58.8
Massaman Curry -93,"Three egg whites with spinach, mushrooms, caramelized onions, tomatoes and low-fat feta cheese. With herbed quinoa, and your choice of rye or whole-grain toast.",Non-Veg,Mustard,Chinese cuisine,164.67
Barbecue Ribs -94,"Fresh parsley, Italian sausage, shallots, garlic, sun-dried tomatoes and mozzarella cheese in an all-butter crust. With a side of mixed fruits.",Veg,Eggs,Gujarati,126.76
Katsu Curry -95,"Creamy mascarpone cheese and custard layered between espresso and rum soaked house-made ladyfingers, topped with Valrhona cocoa powder.",Non-Veg,Crustaceans and molluscs,French,172.52
Pasta and Beans -96,"Thick slices of French toast bread, brown sugar, half-and-half and vanilla, topped with powdered sugar. With two eggs served any style, and your choice of smoked bacon or smoked ham.",Veg,Sulphites,Mughal,174.95
Stinky Tofu -97,"Three egg omelet with Roquefort cheese, chives, and ham. With a side of roasted potatoes, and your choice of toast or croissant.",Non-Veg,Sesame seeds,Polish,118.67
Bruschette with Tomato -98,"Three egg omelet with Roquefort cheese, chives, and ham. With a side of roasted potatoes, and your choice of toast or croissant.",Non-Veg,Sulphites,Indian Chinese,124.19
Caesar Salad -99,"28-day aged 300g USDA Certified Prime Ribeye, rosemary-thyme garlic butter, with choice of two sides.",Veg,Wheat and triticale,South Indian,88.92
